Process ID,Memory Required,Duration
323,63,2
324,26,15
325,84,2
326,86,8
327,3,4
328,33,13
329,82,10
330,97,14
331,68,8
332,94,12
333,64,5
334,85,12
335,92,4
336,68,15
337,29,16
338,2,7
339,28,16
340,78,1
341,8,14
342,48,10
343,92,14
344,5,16
345,64,1
346,42,14
347,83,3
348,96,8
349,43,11
350,50,5
351,58,9
352,57,15
353,92,9
354,50,13
355,48,2
356,84,7
357,45,9
358,46,2
359,43,16
360,31,12
361,62,8
362,22,6
363,83,15
364,88,2
365,27,14
366,54,1
367,68,16
368,83,16
369,18,10
370,100,15
371,63,1
372,5,2
373,30,3
374,15,6
375,64,5
376,49,15
377,77,16
378,45,13
379,16,13
380,76,9
381,39,9
382,91,11
383,75,16
384,15,9
385,45,14
386,4,1
387,19,14
388,57,16
389,7,8
390,38,4
391,61,7
392,46,9
393,66,3
394,16,9
395,100,5
396,91,2
397,57,1
398,38,14
399,27,6
400,46,15
401,83,12
402,49,6
403,82,14
404,41,8
405,75,13
406,58,7
407,7,8
408,50,2
409,48,13
410,64,2
411,84,7
412,84,11
413,61,15
414,21,7
415,21,5
416,91,7
417,89,2
418,28,11
419,59,2
420,3,1
421,79,13
422,37,8
423,95,13
424,54,5
425,62,5
426,18,15
427,76,15
428,21,12
429,71,13
430,19,1
431,13,14
432,31,11
433,22,9
434,77,12
435,70,7
436,4,3
437,25,1
438,33,11
439,17,16
440,72,10
441,65,14
442,46,16
443,9,14
444,35,5
445,67,5
446,96,4
447,5,10
448,41,14
449,42,6
450,44,12
451,68,16
452,75,11
453,29,4
454,20,2
455,84,13
456,96,3
457,60,10
458,15,8
459,7,5
460,74,9
461,7,15
462,82,11
463,94,2
464,55,2
465,52,9
466,45,4
467,79,2
468,86,13
469,68,6
470,26,5
471,23,6
472,79,9
473,39,2
474,39,7
475,85,7
476,39,10
477,98,5
478,13,11
479,8,3
480,74,16
481,26,2
482,44,9
483,21,15
484,72,4
485,24,9
486,22,11
487,6,6
488,43,10
489,8,16
490,5,15
491,93,5
492,78,1
493,68,7
494,47,13
495,89,5
496,99,10
497,83,1
498,58,1
499,49,9
500,84,8
501,56,10
502,47,10
503,30,8
504,48,16
505,33,8
506,71,15
507,70,4
508,74,1
509,97,1
510,43,12
511,85,2
512,1,15
513,3,4
514,37,10
515,9,13
516,50,12
517,48,13
518,88,14
519,22,10
520,95,11
521,23,1
522,61,1
523,59,16
524,12,14
525,82,14
526,47,7
527,39,6
528,34,14
529,28,7
530,67,10
531,51,13
532,82,6
533,94,1
534,86,9
535,61,8
536,43,15
537,65,1
538,81,13
539,22,9
540,66,10
541,23,6
542,95,5
543,44,14
544,48,16
545,68,1
546,47,1
547,57,2
548,24,6
549,86,11
550,24,8
551,46,10
552,36,11
553,12,4
554,67,16
555,81,1
556,41,6
557,15,16
558,7,5
559,10,10
560,49,15
561,76,1
562,76,3
563,83,11
564,66,7
565,55,6
566,78,3
567,65,13
568,22,14
569,88,15
570,39,16
571,43,6
572,10,5
573,4,16
574,6,5
575,15,7
576,26,13
577,77,9
578,2,2
579,90,3
580,40,1
581,99,4
582,19,16
583,82,5
584,83,6
585,49,2
586,98,14
587,85,6
588,14,1
589,57,6
590,53,6
591,31,11
592,63,4
593,100,8
594,80,14
595,65,10
596,42,8
597,54,15
598,97,9
599,81,1
600,27,8
601,92,3
602,25,14
603,62,11
604,52,12
605,2,16
606,69,8
607,89,7
608,32,1
609,70,8
610,36,7
611,22,1
612,10,6
613,3,8
614,2,16
615,100,7
616,52,5
617,15,11
618,17,7
619,94,8
620,1,1
621,64,2
622,32,9
623,92,1
624,15,15
625,59,8
626,82,3
627,68,11
628,6,8
629,77,16
630,78,4
631,38,9
632,52,9
633,88,5
634,7,13
635,76,15
636,83,11
637,78,13
638,77,8
639,99,3
640,75,11
641,55,11
642,74,15
643,75,5
644,6,6
645,52,1
646,62,16
647,80,3
648,12,9
649,17,10
650,96,3
651,85,8
652,57,7
653,81,15
654,21,6
655,98,9
656,56,7
657,45,12
658,94,8
659,16,13
660,93,5
661,83,16
662,44,12
663,95,4
664,42,5
665,70,12
666,44,16
667,17,6
668,20,5
669,85,10
670,41,7
671,62,7
672,9,9
673,27,2
674,86,15
675,36,4
676,1,3
677,30,8
678,61,3
679,12,14
680,34,16
681,13,11
682,21,4
683,60,9
684,65,4
685,65,5
686,52,16
687,45,13
688,47,2
689,69,14
690,42,1
691,3,12
692,11,5
693,32,4
694,61,10
695,70,13
696,99,6
697,46,6
698,97,15
699,8,6
700,30,14
701,23,12
702,88,5
703,66,11
704,23,13
705,14,8
706,77,15
707,41,15
708,56,4
709,30,13
710,5,9
711,39,15
712,72,3
713,56,2
714,82,9
715,31,11
716,16,10
717,52,2
718,31,4
719,85,15
720,45,15
721,82,5
722,67,15
723,80,9
724,93,7
725,36,13
726,38,5
727,47,2
728,40,6
729,45,1
730,11,13
731,22,9
732,98,13
733,23,15
734,6,6
735,22,4
736,53,8
737,50,8
738,25,7
739,92,12
740,34,16
741,46,2
742,79,11
743,3,12
744,99,3
745,60,1
746,48,13
747,61,10
748,82,15
749,47,6
750,65,13
751,75,3
752,55,4
753,54,6
754,92,2
755,52,8
756,7,2
757,67,9
758,74,7
759,10,3
760,2,12
761,15,12
762,92,10
763,55,6
764,9,12
765,52,10
766,33,15
767,30,14
768,16,1
769,41,12
770,32,7
771,5,4
772,67,8
773,9,12
774,37,15
775,46,10
776,31,11
777,17,9
778,34,6
779,40,3
780,31,3
781,6,12
782,50,4
783,92,15
784,85,7
785,3,11
786,44,14
787,29,5
788,9,2
789,82,9
790,97,5
791,9,9
792,35,13
793,27,13
794,14,15
795,12,1
796,20,9
797,11,3
798,11,11
799,81,3
800,10,16
801,58,10
802,28,16
803,2,2
804,72,4
805,28,16
806,49,6
807,50,16
808,29,14
809,55,10
810,86,1
811,22,8
812,47,8
813,79,13
814,83,9
815,65,14
816,34,5
817,54,15
818,92,12
819,6,1
820,16,13
821,96,2
822,14,11
823,35,2
824,95,13
825,2,13
826,10,11
827,10,7
828,79,15
829,10,11
830,80,6
831,32,15
832,64,5
833,58,15
834,54,14
835,9,8
836,16,5
837,18,6
838,13,12
839,3,14
840,53,16
841,23,15
842,20,1
843,1,1
844,91,16
845,58,1
846,99,12
847,64,5
848,66,8
849,96,14
850,65,10
851,8,12
852,9,1
853,86,8
854,64,12
855,34,14
856,10,8
857,75,4
858,57,6
859,98,15
860,87,15
861,35,8
862,27,1
863,76,11
864,96,15
865,91,4
866,61,12
867,70,10
868,83,14
869,70,12
870,22,7
871,28,10
872,47,12
873,58,15
874,9,13
875,91,13
876,12,13
877,97,5
878,8,4
879,26,5
880,96,5
881,42,12
882,4,8
883,32,12
884,31,16
885,59,3
886,8,11
887,60,14
888,23,3
889,55,4
890,97,16
891,14,16
892,71,12
893,48,15
894,50,13
895,31,3
896,50,9
897,43,5
898,26,12
899,93,2
900,30,1
901,28,13
902,97,7
903,33,8
904,12,9
905,49,14
906,92,8
907,63,10
908,98,6
909,16,11
910,59,7
911,76,12
912,44,7
913,84,9
914,40,13
915,93,16
916,1,9
917,43,4
918,39,11
919,52,13
920,34,16
921,10,9
922,6,9
923,59,7
924,73,13
925,1,15
926,56,3
927,51,13
928,36,16
929,69,3
930,78,13
931,20,11
932,73,6
933,14,5
934,98,13
935,9,16
936,66,6
937,30,4
938,15,7
939,37,4
940,80,11
941,51,10
942,3,15
943,10,12
944,2,8
945,1,4
946,78,11
947,95,1
948,52,5
949,23,5
950,87,15
951,91,12
952,85,1
953,94,12
954,12,6
955,4,15
956,96,4
957,57,8
958,60,7
959,62,11
960,10,1
961,53,7
962,66,11
963,81,4
964,4,7
965,12,8
966,71,7
967,21,6
968,94,10
969,30,8
970,84,10
971,99,14
972,59,5
973,58,10
974,16,2
975,86,2
976,4,8
977,96,9
978,74,6
979,63,11
980,34,1
981,39,12
982,44,15
983,37,9
984,70,16
985,87,2
986,14,5
987,94,3
988,85,1
989,9,11
990,72,1
991,5,14
992,94,13
993,38,4
994,75,7
995,45,6
996,10,13
997,94,13
998,54,16
999,99,4
1000,6,14
1001,94,4
1002,72,10
1003,1,13
1004,56,16
1005,90,13
1006,27,16
1007,68,14
1008,88,7
1009,91,6
1010,77,12
1011,30,15
1012,84,13
1013,1,15
1014,40,11
1015,57,12
1016,76,7
1017,20,16
1018,58,16
1019,3,9
1020,54,5
1021,95,14
1022,86,8
1023,52,14
1024,80,11
1025,46,13
1026,4,12
1027,85,5
1028,21,6
1029,66,12
1030,12,14
1031,14,3
1032,47,8
1033,16,9
1034,28,5
1035,2,15
1036,14,9
1037,37,9
1038,59,16
1039,73,6
1040,56,10
1041,44,11
1042,72,10
1043,35,10
1044,6,10
1045,40,1
1046,26,16
1047,85,7
1048,34,2
1049,55,5
1050,8,8
1051,69,9
1052,2,2
1053,30,14
1054,52,3
1055,90,12
1056,8,7
1057,90,11
1058,76,1
1059,40,9
1060,4,15
1061,67,11
1062,64,4
1063,8,4
1064,27,10
1065,74,12
1066,58,1
1067,88,6
1068,71,9
1069,73,16
1070,15,7
1071,76,1
1072,93,11
1073,64,14
1074,81,11
1075,89,10
1076,33,13
1077,42,6
1078,49,8
1079,61,10
1080,53,12
1081,95,12
1082,100,12
1083,72,3
1084,21,8
1085,80,1
1086,13,3
1087,78,6
1088,39,13
1089,69,5
1090,77,7
1091,71,16
1092,46,12
1093,50,2
1094,62,15
1095,22,4
1096,24,13
1097,20,13
1098,62,10
1099,67,5
1100,82,16
1101,51,16
1102,91,16
1103,67,11
1104,92,6
1105,14,6
1106,70,4
1107,95,15
1108,92,1
1109,61,10
1110,5,4
1111,60,10
1112,18,1
1113,19,3
1114,32,15
1115,33,10
1116,57,8
1117,46,15
1118,98,10
1119,42,2
1120,87,3
1121,75,2
1122,40,1
1123,71,7
1124,65,2
1125,86,11
1126,53,5
1127,4,12
1128,37,4
1129,70,6
1130,80,8
1131,20,9
1132,29,5
1133,3,7
1134,53,4
1135,67,13
1136,87,15
1137,53,13
1138,75,11
1139,16,10
1140,76,15
1141,59,7
1142,61,2
1143,59,7
1144,35,10
1145,15,13
1146,74,9
1147,58,1
1148,97,14
1149,100,8
1150,70,14
1151,30,4
1152,4,6
1153,89,13
1154,80,9
1155,52,8
1156,16,11
1157,31,13
1158,30,6
1159,62,15
1160,72,3
1161,67,12
1162,95,14
1163,70,4
1164,52,4
1165,94,16
1166,63,7
1167,42,4
1168,38,3
1169,71,4
1170,33,1
1171,17,4
1172,14,13
1173,66,1
1174,83,8
1175,36,4
1176,73,13
1177,76,10
1178,18,8
1179,46,15
1180,35,3
1181,90,3
1182,75,8
1183,39,13
1184,89,11
1185,87,10
1186,84,10
1187,93,9
1188,8,5
1189,21,9
1190,14,6
1191,59,4
1192,13,4
1193,82,13
1194,76,14
1195,85,1
1196,13,1
1197,66,1
1198,12,9
1199,84,15
1200,95,13
1201,96,7
1202,49,6
1203,33,16
1204,1,13
1205,71,12
1206,82,9
1207,18,10
1208,28,10
1209,81,15
1210,20,7
1211,32,13
1212,60,7
1213,90,11
1214,100,14
1215,56,10
1216,27,7
1217,21,15
1218,66,8
1219,68,4
1220,81,14
1221,43,15
1222,28,1
1223,42,11
1224,75,14
1225,31,1
1226,90,6
1227,82,6
1228,94,4
1229,54,11
1230,68,4
1231,48,9
1232,44,1
1233,90,8
1234,48,10
1235,13,15
1236,84,14
1237,6,15
1238,81,15
1239,7,1
1240,61,1
1241,48,1
1242,73,6
1243,77,8
1244,99,3
1245,45,3
1246,33,5
1247,2,2
1248,31,4
1249,58,1
1250,8,11
1251,78,11
1252,87,8
1253,30,2
1254,2,14
1255,84,7
1256,1,16
1257,26,9
1258,3,13
1259,47,11
1260,16,16
1261,85,14
1262,15,15
1263,36,6
1264,91,11
1265,2,9
1266,11,5
1267,55,11
1268,67,1
1269,62,16
1270,19,12
1271,77,6
1272,90,5
1273,94,11
1274,26,2
1275,64,4
1276,75,6
1277,11,2
1278,8,4
1279,92,7
1280,7,7
1281,51,13
1282,60,10
1283,49,11
1284,78,2
1285,87,9
1286,53,7
1287,29,8
1288,22,9
1289,55,12
1290,100,6
1291,97,12
1292,99,8
1293,43,7
1294,26,16
1295,51,4
1296,25,8
1297,59,5
1298,69,12
1299,99,4
1300,38,8
1301,74,15
1302,83,6
1303,22,12
1304,27,4
1305,24,16
1306,33,3
1307,10,2
1308,98,9
1309,16,3
1310,70,6
1311,94,14
1312,79,13
1313,56,4
1314,60,10
1315,79,2
1316,28,3
1317,95,3
1318,82,1
1319,11,7
1320,35,2
1321,54,8
1322,42,15
1323,64,7
1324,7,9
1325,52,1
1326,35,10
1327,96,11
1328,82,7
1329,85,9
1330,49,11
1331,72,7
1332,73,5
1333,98,11
1334,85,13
1335,28,5
1336,88,16
1337,99,7
1338,16,3
1339,95,2
1340,88,12
1341,69,11
1342,55,5
1343,14,16
1344,62,7
1345,91,10
1346,46,11
1347,95,8
1348,22,11
1349,68,6
1350,11,2
1351,17,13
1352,45,16
1353,48,12
1354,54,11
1355,75,15
1356,13,10
1357,53,10
1358,17,4
1359,73,8
1360,61,6
1361,67,16
1362,17,16
1363,26,12
1364,14,10
1365,62,16
1366,62,3
1367,82,4
1368,9,15
1369,35,6
1370,33,6
1371,48,5
1372,86,8
1373,32,3
1374,40,4
1375,95,12
1376,55,7
1377,78,9
1378,81,7
1379,5,9
1380,72,5
1381,36,3
1382,25,8
1383,91,14
1384,25,11
1385,75,7
1386,65,2
1387,20,5
1388,63,13
1389,90,13
1390,36,5
1391,93,13
1392,31,11
1393,80,10
1394,11,7
1395,91,8
1396,74,7
1397,95,8
1398,61,14
1399,100,2
1400,25,4
1401,2,11
1402,1,10
1403,87,9
1404,63,12
1405,45,3
1406,67,3
1407,83,7
1408,7,13
1409,50,10
1410,90,6
1411,18,10
1412,8,13
1413,4,11
1414,72,2
1415,98,11
1416,62,11
1417,75,12
1418,63,14
1419,3,9
1420,54,13
1421,66,5
1422,1,3
1423,86,13
1424,65,14
1425,54,5
1426,33,6
1427,73,11
1428,10,14
1429,82,9
1430,55,13
1431,90,10
1432,94,4
1433,91,16
1434,33,6
1435,37,4
1436,100,8
1437,51,3
1438,90,7
1439,9,10
1440,76,3
1441,36,4
1442,30,3
1443,21,15
1444,82,1
1445,33,8
1446,30,9
1447,90,3
1448,44,7
1449,61,8
1450,86,15
1451,51,13
1452,46,9
1453,16,4
1454,70,1
1455,8,5
1456,69,15
1457,47,4
1458,13,4
1459,87,12
1460,39,8
1461,83,5
1462,80,9
1463,86,2
1464,25,4
1465,11,2
1466,78,12
1467,32,15
1468,90,3
1469,25,6
1470,73,1
1471,72,14
1472,84,6
1473,61,15
1474,68,6
1475,65,5
1476,30,6
1477,31,5
1478,73,4
1479,28,4
1480,59,15
1481,41,16
1482,84,2
1483,61,3
1484,63,4
1485,54,14
1486,89,10
1487,48,8
1488,86,5
1489,17,8
1490,38,5
1491,17,13
1492,45,15
1493,1,9
1494,100,5
1495,50,9
1496,85,9
1497,15,1
1498,24,4
1499,31,1
1500,24,8
1501,39,4
1502,18,1
1503,49,14
1504,99,6
1505,64,10
1506,67,14
1507,92,15
1508,70,1
1509,82,10
1510,82,13
1511,18,1
1512,21,7
1513,21,1
1514,61,15
1515,31,2
1516,36,16
1517,77,5
1518,75,7
1519,79,2
1520,52,3
1521,25,13
1522,48,13
1523,20,4
1524,59,5
1525,74,15
1526,30,11
1527,50,14
1528,48,7
1529,6,6
1530,83,14
1531,88,10
1532,26,10
1533,21,12
1534,44,7
1535,57,12
1536,60,6
1537,1,7
1538,72,14
1539,95,11
1540,60,10
1541,31,16
1542,92,7
1543,99,1
1544,79,3
1545,47,16
1546,98,15
1547,7,5
1548,39,13
1549,94,12
1550,22,7
1551,33,7
1552,91,10
1553,54,8
1554,48,12
1555,48,10
1556,91,1
1557,19,5
1558,74,7
1559,77,10
1560,42,1
1561,61,3
1562,89,11
1563,9,6
1564,78,13
1565,63,10
1566,54,3
1567,69,4
1568,16,8
1569,58,16
1570,58,10
1571,53,3
1572,22,14
1573,12,10
1574,41,3
1575,60,10
1576,64,12
1577,31,13
1578,36,3
1579,23,14
1580,62,13
1581,51,15
1582,8,1
1583,29,10
1584,24,12
1585,6,4
1586,81,6
1587,83,5
1588,14,12
1589,29,10
1590,77,9
1591,91,11
1592,98,16
1593,73,14
1594,87,8
1595,8,5
1596,53,8
1597,94,14
1598,8,1
1599,85,7
1600,66,16
1601,25,9
1602,56,1
1603,99,13
1604,78,10
1605,20,15
1606,63,12
1607,7,8
1608,74,11
1609,68,14
1610,51,15
1611,26,15
1612,56,1
1613,92,2
1614,1,2
1615,47,3
1616,94,16
1617,55,6
1618,6,6
1619,15,15
1620,87,2
1621,80,12
1622,88,16
1623,31,13
1624,29,14
1625,72,3
1626,81,11
1627,34,12
1628,66,5
1629,32,8
1630,54,14
1631,71,1
1632,16,2
1633,6,6
1634,76,4
1635,78,10
1636,16,3
1637,23,5
1638,62,8
1639,96,14
1640,39,6
1641,51,3
1642,29,13
1643,57,11
1644,25,1
1645,42,10
1646,72,13
1647,35,1
1648,39,3
1649,31,6
1650,65,16
1651,93,8
1652,100,2
1653,75,13
1654,95,3
1655,5,3
1656,18,7
1657,56,6
1658,16,5
1659,54,12
1660,65,12
1661,17,1
1662,3,1
1663,51,1
1664,43,10
1665,51,14
1666,4,9
1667,24,5
1668,48,6
1669,57,1
1670,19,11
1671,31,3
1672,84,1
1673,73,14
1674,21,10
1675,94,2
1676,25,14
1677,94,11
1678,26,16
1679,72,14
1680,31,8
1681,57,1
1682,46,6
1683,57,5
1684,21,15
1685,54,4
1686,100,10
1687,65,4
1688,27,4
1689,61,1
1690,74,8
1691,21,4
1692,25,14
1693,92,13
1694,20,10
1695,4,2
1696,72,11
1697,46,9
1698,43,2
1699,64,2
1700,95,15
1701,78,4
1702,32,4
1703,61,9
1704,65,15
1705,53,6
1706,21,15
1707,72,15
1708,27,14
1709,86,15
1710,28,16
1711,17,13
1712,63,7
1713,55,14
1714,46,2
1715,60,5
1716,40,7
1717,95,6
1718,41,14
1719,36,3
1720,67,15
1721,87,14
1722,46,13
1723,10,12
1724,82,6
1725,58,5
1726,61,3
1727,90,10
1728,49,10
1729,41,8
1730,20,15
1731,52,9
1732,23,6
1733,34,10
1734,45,12
1735,85,3
1736,61,4
1737,73,9
1738,20,14
1739,16,5
1740,69,3
1741,16,16
1742,7,10
1743,76,6
1744,98,15
1745,70,6
1746,82,13
1747,31,1
1748,88,11
1749,44,16
1750,82,6
1751,57,15
1752,69,1
1753,79,5
1754,26,6
1755,3,6
1756,33,14
1757,95,4
1758,22,3
1759,64,5
1760,68,6
1761,26,9
1762,100,8
1763,98,5
1764,23,15
1765,34,1
1766,94,9
1767,95,11
1768,43,3
1769,56,11
1770,9,13
1771,78,4
1772,37,8
1773,7,15
1774,16,12
1775,37,6
1776,61,2
1777,41,11
1778,39,2
1779,2,7
1780,33,10
1781,51,1
1782,26,5
1783,72,5
1784,99,11
1785,58,4
1786,64,1
1787,24,11
1788,64,2
1789,56,12
1790,69,9
1791,10,5
1792,18,12
1793,47,10
1794,57,7
1795,91,3
1796,23,4
1797,79,12
1798,51,9
1799,59,12
1800,50,8
1801,70,10
1802,75,8
1803,16,1
1804,51,6
1805,22,15
1806,30,16
1807,57,14
1808,73,9
1809,29,3
1810,62,15
1811,93,11
1812,28,10
1813,63,5
1814,79,16
1815,57,10
1816,83,7
1817,88,9
1818,22,16
1819,84,6
1820,80,11
1821,48,8
1822,86,13
1823,31,1
1824,12,14
1825,19,15
1826,86,4
1827,56,1
1828,89,11
1829,90,12
1830,53,1
1831,75,2
1832,50,2
1833,19,9
1834,41,4
1835,67,5
1836,49,15
1837,51,5
1838,84,5
1839,3,5
1840,28,9
1841,90,8
1842,4,9
1843,27,2
1844,36,11
1845,80,9
1846,58,10
1847,11,10
1848,47,8
1849,17,14
1850,64,1
1851,85,16
1852,59,11
1853,57,9
1854,64,4
1855,57,3
1856,77,14
1857,51,12
1858,19,14
1859,86,5
1860,33,14
1861,62,1
1862,2,1
1863,11,15
1864,39,16
1865,50,16
1866,17,13
1867,54,1
1868,95,8
1869,31,9
1870,47,4
1871,61,3
1872,74,2
1873,99,10
1874,68,8
1875,28,5
1876,49,13
1877,49,6
1878,92,7
1879,27,5
1880,51,15
1881,31,12
1882,77,16
1883,98,8
1884,68,5
1885,73,5
1886,87,16
1887,24,7
1888,96,15
1889,13,6
1890,76,14
1891,50,12
1892,28,1
1893,9,15
1894,99,2
1895,90,15
1896,77,1
1897,44,10
1898,15,15
1899,99,1
1900,2,2
1901,87,1
1902,18,1
1903,71,1
1904,21,11
1905,86,7
1906,13,6
1907,44,4
1908,88,7
1909,71,5
1910,91,13
1911,3,4
1912,64,5
1913,29,1
1914,52,1
1915,33,16
1916,46,8
1917,31,13
1918,51,1
1919,25,1
1920,100,13
1921,72,9
1922,2,16
1923,91,3
1924,95,13
1925,28,1
1926,12,6
1927,89,16
1928,36,6
1929,58,5
1930,49,4
1931,77,15
1932,19,14
1933,32,6
1934,3,1
1935,55,9
1936,64,8
1937,42,4
1938,12,3
1939,32,5
1940,89,6
1941,34,10
1942,25,6
1943,55,8
1944,43,6
1945,40,6
1946,72,4
1947,32,3
1948,76,16
1949,12,5
1950,85,5
1951,65,12
1952,36,13
1953,52,3
1954,56,9
1955,55,6
1956,30,5
1957,97,9
1958,45,15
1959,18,10
1960,61,7
1961,64,1
1962,99,2
1963,44,5
1964,37,15
1965,86,10
1966,40,6
1967,61,9
1968,72,6
1969,46,16
1970,46,11
1971,79,3
1972,55,5
1973,56,10
1974,54,4
1975,66,11
1976,41,9
1977,19,10
1978,45,7
1979,71,4
1980,47,2
1981,100,5
1982,66,10
1983,99,1
1984,61,9
1985,4,4
1986,29,6
1987,42,6
1988,19,10
1989,57,5
1990,30,4
1991,62,15
1992,44,6
1993,30,12
1994,58,5
1995,85,3
1996,70,12
1997,45,8
1998,44,3
1999,44,4
2000,36,4
2001,62,9
2002,40,13
2003,38,9
2004,96,7
2005,9,2
2006,49,14
2007,84,6
2008,20,14
2009,47,10
2010,46,16
2011,95,15
2012,55,5
2013,54,6
2014,34,2
2015,75,2
2016,71,11
2017,45,15
2018,36,3
2019,97,11
2020,100,4
2021,22,4
2022,81,7
2023,17,10
2024,78,7
2025,3,1
2026,54,10
2027,28,10
2028,31,7
2029,26,8
2030,64,2
2031,36,13
2032,26,2
2033,70,14
2034,86,5
2035,36,12
2036,52,7
2037,80,15
2038,16,7
2039,74,1
2040,73,8
2041,5,1
2042,29,8
2043,24,9
2044,31,6
2045,83,2
2046,88,12
2047,38,14
2048,66,2
2049,14,12
2050,57,13
2051,61,13
2052,17,6
2053,43,3
2054,5,7
2055,48,1
2056,33,12
2057,32,14
2058,9,7
2059,89,8
2060,64,10
2061,99,4
2062,84,5
2063,26,4
2064,12,1
2065,76,12
2066,58,13
2067,47,2
2068,24,8
2069,39,16
2070,98,2
2071,27,16
2072,28,4
2073,88,1
2074,55,3
2075,68,1
2076,80,13
2077,25,8
2078,54,3
2079,87,12
2080,85,11
2081,87,1
2082,64,14
2083,69,3
2084,8,16
2085,21,10
2086,11,8
2087,61,8
2088,21,12
2089,44,10
2090,29,14
2091,56,15
2092,2,1
2093,33,3
2094,69,14
2095,58,7
2096,63,2
2097,73,4
2098,27,16
2099,96,15
2100,53,3
2101,83,8
2102,35,2
2103,78,6
2104,58,13
2105,30,2
2106,82,14
2107,68,2
2108,66,10
2109,42,4
2110,92,9
2111,90,12
2112,55,13
2113,41,10
2114,46,12
2115,12,9
2116,39,10
2117,6,13
2118,98,15
2119,2,5
2120,93,10
2121,16,7
2122,84,8
2123,41,5
2124,53,12
2125,41,10
2126,75,13
2127,1,13
2128,60,12
2129,78,7
2130,87,1
2131,16,8
2132,80,15
2133,20,15
2134,58,8
2135,26,6
2136,18,16
2137,88,13
2138,66,1
